1,,runnumber,,1,,,,,,1
2,,NM3SEM,,1,,,,,,1
3,,coda,,1,,,,,,1
4,,evnum,,1,,,,,,1
5,,local_evnum,,1,,,,,,1
6,,plask_evnum,,1,,,,,,1
7,,plask_runnumber,,1,,,,,,1
8,,duty_factor_withMI,,1,,,,,,1
9,,duty_factor_noMI,,1,,,,,,1
10,,turn13,,1,,,,,,1
11,,bunch13,,1,,,,,,1
12,,nbsyd,,1,,,,,,1
13,,RF,,1,,,,,,1
14,,none,,1,,,,,,1
15,,dead,,1,,,,,,1
16,,X1T,,1,,,,,,1
17,,X1B,,1,,,,,,1
18,,X2T,,1,,,,,,1
19,,X2B,,1,,,,,,1
20,,X3T,,1,,,,,,1
21,,X3B,,1,,,,,,1
22,,X4T,,1,,,,,,1
23,,X4B,,1,,,,,,1
24,,XTBxYTB,,1,,,,,,1
25,,H4Y2R11L,,1,,,,,,1
26,,R11LxInh,,1,,,,,,1
27,,dead,,1,,,,,,1
28,,InhxBusy,,1,,,,,,1
29,,X1234T,,1,,,,,,1
30,,X1234B,,1,,,,,,1
31,,Y1234T,,1,,,,,,1
32,,Y1234B,,1,,,,,,1
33,,NIM2xXTB,,1,,,,,,1
34,,NIM1xYTB,,1,,,,,,1
35,,NIM3Cosmic,,1,,,,,,1
36,,NIM4Beam,,1,,,,,,1
37,,BeamxInhibit,,1,,,,,,1
38,,B12,,1,,,,,,1
39,,B12xBusy,,1,,,,,,1
40,,B12xRF,,1,,,,,,1
41,,B34,,1,,,,,,1
42,,TrigL1,,1,,,,,,1
43,,Inhibit,,1,,,,,,1
44,,TSBusy,,1,,,,,,1
45,,Y1T,,1,,,,,,1
46,,Y1B,,1,,,,,,1
47,,Y2T,,1,,,,,,1
48,,Y2B,,1,,,,,,1
49,,Y4T1,,1,,,,,,1
50,,Y4B1,,1,,,,,,1
51,,Y4T2,,1,,,,,,1
52,,Y4B2,,1,,,,,,1
53,,Y4B2Inh,,1,,,,,,1
54,,Y4B2InB,,1,,,,,,1
55,,R4L,,1,,,,,,1
56,,none,,1,,,,,,1
57,,R11LxR4L,,1,,,,,,1
58,,none,,1,,,,,,1
59,,NM3IONraw,,1,,,,,,1
60,,dead,,1,,,,,,1
61,,EOSBit,,1,,,,,,1
62,,dead,,1,,,,,,1
63,,dead,,1,,,,,,1
64,,none,,1,,,,,,1
65,,dead,,1,,,,,,1
66,,FPGA4xInhxBusy,,1,,,,,,1
67,,FPGA4xInhibit,,1,,,,,,1
68,,FPGA4xBusy,,1,,,,,,1
69,,dead,,1,,,,,,1
70,,FPGA1,,1,,,,,,1
71,,FPGA2,,1,,,,,,1
72,,FPGA3,,1,,,,,,1
73,,FPGA4,,1,,,,,,1
74,,FPGA5,,1,,,,,,1
75,,SC1_CH1,integer,1,count,,,,,1
76,,SC1_CH2,integer,1,count,,,,,1
77,,SC1_CH3,integer,1,count,,,,,1
78,,SC1_CH4,integer,1,count,,,,,1
79,,SC1_CH5,integer,1,count,,,,,1
80,,SC1_CH6,integer,1,count,,,,,1
81,,SC1_CH7,integer,1,count,,,,,1
82,,SC1_CH8,integer,1,count,,,,,1
83,,SC1_CH9,integer,1,count,,,,,1
84,,SC1_CH10,integer,1,count,,,,,1
85,,SC1_CH11,integer,1,count,,,,,1
86,,SC1_CH12,integer,1,count,,,,,1
87,,SC1_CH13,integer,1,count,,,,,1
88,,SC1_CH14,integer,1,count,,,,,1
89,,SC1_CH15,integer,1,count,,,,,1
90,,SC1_CH16,integer,1,count,,,,,1
91,,SC1_CH17,integer,1,count,,,,,1
92,,SC1_CH18,integer,1,count,,,,,1
93,,SC1_CH19,integer,1,count,,,,,1
94,,SC1_CH20,integer,1,count,,,,,1
95,,SC1_CH21,integer,1,count,,,,,1
96,,SC1_CH22,integer,1,count,,,,,1
97,,SC1_CH23,integer,1,count,,,,,1
98,,SC1_CH24,integer,1,count,,,,,1
99,,SC1_CH25,integer,1,count,,,,,1
100,,SC1_CH26,integer,1,count,,,,,1
101,,SC1_CH27,integer,1,count,,,,,1
102,,SC1_CH28,integer,1,count,,,,,1
103,,SC1_CH29,integer,1,count,,,,,1
104,,SC1_CH30,integer,1,count,,,,,1
105,,SC1_CH31,integer,1,count,,,,,1
106,,SC1_CH32,integer,1,count,,,,,1
107,,SC2_CH1,integer,1,count,,,,,1
108,,SC2_CH2,integer,1,count,,,,,1
109,,SC2_CH3,integer,1,count,,,,,1
110,,SC2_CH4,integer,1,count,,,,,1
111,,SC2_CH5,integer,1,count,,,,,1
112,,SC2_CH6,integer,1,count,,,,,1
113,,SC2_CH7,integer,1,count,,,,,1
114,,SC2_CH8,integer,1,count,,,,,1
115,,SC2_CH9,integer,1,count,,,,,1
116,,SC2_CH10,integer,1,count,,,,,1
117,,SC2_CH11,integer,1,count,,,,,1
118,,SC2_CH12,integer,1,count,,,,,1
119,,SC2_CH13,integer,1,count,,,,,1
120,,SC2_CH14,integer,1,count,,,,,1
121,,SC2_CH15,integer,1,count,,,,,1
122,,SC2_CH16,integer,1,count,,,,,1
123,,SC2_CH17,integer,1,count,,,,,1
124,,SC2_CH18,integer,1,count,,,,,1
125,,SC2_CH19,integer,1,count,,,,,1
126,,SC2_CH20,integer,1,count,,,,,1
127,,SC2_CH21,integer,1,count,,,,,1
128,,SC2_CH22,integer,1,count,,,,,1
129,,SC2_CH23,integer,1,count,,,,,1
130,,SC2_CH24,integer,1,count,,,,,1
131,,SC2_CH25,integer,1,count,,,,,1
132,,SC2_CH26,integer,1,count,,,,,1
133,,SC2_CH27,integer,1,count,,,,,1
134,,SC2_CH28,integer,1,count,,,,,1
135,,SC2_CH29,integer,1,count,,,,,1
136,,SC2_CH30,integer,1,count,,,,,1
137,,SC2_CH31,integer,1,count,,,,,1
138,,SC2_CH32,integer,1,count,,,,,1
139,,SC3_CH1,integer,1,count,,,,,1
140,,SC3_CH2,integer,1,count,,,,,1
141,,SC3_CH3,integer,1,count,,,,,1
142,,SC3_CH4,integer,1,count,,,,,1
143,,SC3_CH5,integer,1,count,,,,,1
144,,SC3_CH6,integer,1,count,,,,,1
145,,SC3_CH7,integer,1,count,,,,,1
146,,SC3_CH8,integer,1,count,,,,,1
147,,SC3_CH9,integer,1,count,,,,,1
148,,SC3_CH10,integer,1,count,,,,,1
149,,SC3_CH11,integer,1,count,,,,,1
150,,SC3_CH12,integer,1,count,,,,,1
151,,SC3_CH13,integer,1,count,,,,,1
152,,SC3_CH14,integer,1,count,,,,,1
153,,SC3_CH15,integer,1,count,,,,,1
154,,SC3_CH16,integer,1,count,,,,,1
155,,SC3_CH17,integer,1,count,,,,,1
156,,SC3_CH18,integer,1,count,,,,,1
157,,SC3_CH19,integer,1,count,,,,,1
158,,SC3_CH20,integer,1,count,,,,,1
159,,SC3_CH21,integer,1,count,,,,,1
160,,SC3_CH22,integer,1,count,,,,,1
161,,SC3_CH23,integer,1,count,,,,,1
162,,SC3_CH24,integer,1,count,,,,,1
163,,SC3_CH25,integer,1,count,,,,,1
164,,SC3_CH26,integer,1,count,,,,,1
165,,SC3_CH27,integer,1,count,,,,,1
166,,SC3_CH28,integer,1,count,,,,,1
167,,SC3_CH29,integer,1,count,,,,,1
168,,SC3_CH30,integer,1,count,,,,,1
169,,SC3_CH31,integer,1,count,,,,,1
170,,SC3_CH32,integer,1,count,,,,,1
171,,DUTYFACTOR_SC,double,1,,,,,,1
172,,DUTYFACTORMI_SC,double,1,,,,,,1
